label,f1_score
CC: Controversy about green technologies: Nuclear energy is not climate friendly,0.0
CC: Amplifying Climate Fears: Earth will be uninhabitable soon,0.0
CC: Amplifying Climate Fears: Whatever we do it is already too late,0.0
CC: Climate change is beneficial: CO2 is beneficial,0.0
CC: Climate change is beneficial: Other,0.0
CC: Controversy about green technologies: Other,0.0
CC: Climate change is beneficial: Temperature increase is beneficial,0.0
CC: Downplaying climate change: Human activities do not impact climate change,0.0
CC: Downplaying climate change: Humans and nature will adapt to the changes,0.0
CC: Downplaying climate change: Ice is not melting,0.0
CC: Downplaying climate change: Other,0.0
CC: Downplaying climate change: Sea levels are not rising,0.0
CC: Criticism of institutions and authorities: Other,0.0
CC: Criticism of climate policies: Climate policies are only for profit,0.0
CC: Criticism of institutions and authorities: Criticism of international entities,0.0
CC: Criticism of institutions and authorities: Criticism of the EU,0.0
CC: Criticism of climate movement: Climate movement is corrupt,0.0
CC: Criticism of climate movement: Ad hominem attacks on key activists,0.0
CC: Controversy about green technologies: Renewable energy is unreliable,0.0
CC: Controversy about green technologies: Renewable energy is dangerous,0.0
CC: Controversy about green technologies: Renewable energy is costly,0.0
CC: Downplaying climate change: Weather suggests the trend is global cooling,0.0
CC: Green policies are geopolitical instruments: Climate-related international relations are abusive/exploitative,0.0
CC: Green policies are geopolitical instruments: Green activities are a form of neo-colonialism,0.0
CC: Green policies are geopolitical instruments: Other,0.0
CC: Questioning the measurements and science: Data shows no temperature increase,0.0
CC: Hidden plots by secret schemes of powerful groups: Other,0.0
CC: Downplaying climate change: Temperature increase does not have significant impact,0.0
